split,ghost_timestamp,source_file,target_trace_15,tsne_x,tsne_y,hmm_state,gmm_cluster
TRAIN,2026-05-04T11:08:00-05:00,2026_05.csv,7,0.409693097994181,4.82143466454433,ACTIVE,1
TRAIN,2026-05-04T13:06:00-05:00,2026_05.csv,9,0.516680107694879,-2.96708744860588,QUIET,3
TRAIN,2026-05-04T18:51:00-05:00,2026_05.csv,7,-1.09398092311228,1.92693439692089,ACTIVE,0
TRAIN,2026-05-05T01:01:00-05:00,2026_05.csv,7,0.366254683350361,-0.752123203405725,ACTIVE,3
TRAIN,2026-05-05T01:24:00-05:00,2026_05.csv,9,0.0463056757654782,1.40893798122071,ACTIVE,0
TRAIN,2026-05-05T05:34:00-05:00,2026_05.csv,2,0.191356677635806,-1.24328049162571,ACTIVE,3
TRAIN,2026-05-05T06:19:00-05:00,2026_05.csv,8,-0.227989197317871,1.08587250676198,ACTIVE,0
TRAIN,2026-05-05T14:11:00-05:00,2026_05.csv,5,-1.54118930400215,-2.88884394280534,QUIET,5
TRAIN,2026-05-05T14:55:00-05:00,2026_05.csv,9,-0.347075830129236,0.584953316463545,ACTIVE,0
TRAIN,2026-05-06T01:01:00-05:00,2026_05.csv,9,-0.462328661383688,-2.63501237015139,ACTIVE,3
TRAIN,2026-05-06T01:42:00-05:00,2026_05.csv,0,0.522932540639271,1.07448610182885,ACTIVE,0
TRAIN,2026-05-06T06:10:00-05:00,2026_05.csv,4,-1.27223902124064,-3.71259624179734,QUIET,5
TRAIN,2026-05-06T08:30:00-05:00,2026_05.csv,8,3.43371349398464,2.01719133389045,QUIET,4
TRAIN,2026-05-06T15:14:00-05:00,2026_05.csv,2,-1.57990387820395,-3.69678934407498,QUIET,5
TRAIN,2026-05-06T19:43:00-05:00,2026_05.csv,6,-0.180942433718757,1.76322436383119,ACTIVE,0
TRAIN,2026-05-07T03:05:00-05:00,2026_05.csv,10,-1.42298870749037,-2.44377194675032,QUIET,5
TRAIN,2026-05-07T05:11:00-05:00,2026_05.csv,5,-0.181784910898359,1.75379908179128,ACTIVE,0
TRAIN,2026-05-07T09:55:00-05:00,2026_05.csv,5,-1.73159826162198,-4.56238784834117,QUIET,5
TRAIN,2026-05-07T12:27:00-05:00,2026_05.csv,7,-0.00949844955994332,4.46322299829709,ACTIVE,1
TRAIN,2026-05-07T15:04:00-05:00,2026_05.csv,5,0.0192316651205964,-3.44643880701084,ACTIVE,3
TRAIN,2026-05-07T17:00:00-05:00,2026_05.csv,6,0.169918215833113,3.260003199428,ACTIVE,0
TRAIN,2026-05-08T07:43:00-05:00,2026_05.csv,8,-0.664163055574808,-2.8546151886948,ACTIVE,3
TRAIN,2026-05-08T08:30:00-05:00,2026_05.csv,10,2.67523657886655,1.38281375421803,QUIET,6
TRAIN,2026-05-08T15:01:00-05:00,2026_05.csv,0,-1.61448539254784,-4.09543759508615,QUIET,5
TRAIN,2026-05-10T17:17:00-05:00,2026_05.csv,5,-0.0578223907491369,1.44937220060672,ACTIVE,0
TRAIN,2026-05-10T19:36:00-05:00,2026_05.csv,9,-1.20146297595064,-2.61740954600725,QUIET,5
TRAIN,2026-05-11T03:35:00-05:00,2026_05.csv,9,-0.252987403772873,1.16618990068232,ACTIVE,0
TRAIN,2026-05-11T06:31:00-05:00,2026_05.csv,10,-0.330724709490425,-2.4865572402243,ACTIVE,3
TRAIN,2026-05-11T07:47:00-05:00,2026_05.csv,2,0.523526416896578,1.3316267512586,ACTIVE,0
TRAIN,2026-05-11T08:34:00-05:00,2026_05.csv,3,-1.2229997463481,-4.00866250079396,QUIET,5
TRAIN,2026-05-11T09:32:00-05:00,2026_05.csv,10,-0.0800475974625396,2.6705236139139,ACTIVE,0
TRAIN,2026-05-11T11:10:00-05:00,2026_05.csv,5,-1.17496008935779,-4.20191005161158,QUIET,5
TRAIN,2026-05-11T15:11:00-05:00,2026_05.csv,0,0.85980029122248,2.26511882415555,ACTIVE,0
TRAIN,2026-05-11T17:46:00-05:00,2026_05.csv,5,-0.107633842608184,-1.69299835014885,ACTIVE,3
TRAIN,2026-05-12T07:32:00-05:00,2026_05.csv,8,-0.41401221150156,2.13478307027154,ACTIVE,0
TRAIN,2026-05-12T08:45:00-05:00,2026_05.csv,12,0.315866234745644,-3.58854914975788,ACTIVE,3
TRAIN,2026-05-12T11:54:00-05:00,2026_05.csv,8,-1.93723332672781,5.64083608305731,ACTIVE,1
TRAIN,2026-05-12T14:53:00-05:00,2026_05.csv,7,0.119431447235701,-4.50305539646295,ACTIVE,3
TRAIN,2026-05-12T19:02:00-05:00,2026_05.csv,3,-0.034844679025629,2.35296469694608,ACTIVE,0
TRAIN,2026-05-13T03:40:00-05:00,2026_05.csv,6,-0.0935646872705404,-2.8873983166276,ACTIVE,3
TRAIN,2026-05-13T08:48:00-05:00,2026_05.csv,7,1.90814461442008,4.07554573645896,QUIET,6
TRAIN,2026-05-13T19:59:00-05:00,2026_05.csv,3,-2.01278400818138,-3.24369492625422,QUIET,5
TRAIN,2026-05-13T23:05:00-05:00,2026_05.csv,10,-0.185676558481556,1.88917547964718,ACTIVE,0
TRAIN,2026-05-14T01:23:00-05:00,2026_05.csv,2,-0.455194791997316,-1.37863071398044,ACTIVE,3
TRAIN,2026-05-14T08:12:00-05:00,2026_05.csv,6,0.187712046617297,2.44030083727543,ACTIVE,0
TRAIN,2026-05-14T11:21:00-05:00,2026_05.csv,8,-0.633552515592063,-3.67832360538347,ACTIVE,3
TRAIN,2026-05-14T15:40:00-05:00,2026_05.csv,6,0.0823195095796658,2.4695894157997,ACTIVE,0
TRAIN,2026-05-14T18:38:00-05:00,2026_05.csv,7,-0.033091357610823,-1.16339148380024,ACTIVE,3
TRAIN,2026-05-15T04:51:00-05:00,2026_05.csv,5,-0.792835220237821,3.82818594214197,ACTIVE,1
TRAIN,2026-05-15T05:51:00-05:00,2026_05.csv,5,0.500169783595796,-1.56217768371947,QUIET,3
TRAIN,2026-05-15T08:47:00-05:00,2026_05.csv,6,0.0424824362490364,4.79333568200852,ACTIVE,1
TRAIN,2026-05-15T13:08:00-05:00,2026_05.csv,7,0.283718761954133,-4.552436172453,ACTIVE,3
TRAIN,2026-05-17T20:38:00-05:00,2026_05.csv,10,-0.953817757348811,4.31233205968913,ACTIVE,1
TRAIN,2026-05-17T23:16:00-05:00,2026_05.csv,10,0.504696364616316,-2.30871976180713,QUIET,3
TRAIN,2026-05-18T01:31:00-05:00,2026_05.csv,8,-0.50776122343971,3.11734214338223,ACTIVE,0
